# Rank est utilise pour trier les peintures
#   - '-1' ou pas de valeur, signifie que la date sera utilisee pour le tri (la plus recente en premier)
#   - une valeur positive signifie qu'on utilise cette valeur pour le tri (valeurs les plus fortes apparaissent en premier)
#
# Themes est utilise pour permettre de "trier" les tableaux
#   - un tableau peut appartenir a plusieurs themes
#   - dans la colonne theme, on peut mettre plusieurs themes en separant leurs cles par un espace: par ex, "mangrove australia"
#   - l'intitule du theme (se qu'on affiche) se trouve dans le fichier "dico.csv" en face de sa cle: par ex, "mangrove" -> "Mangroves Australiennes"
#
# rank;filename;title;date;width;height;type;description;themes
-1;Pastels/20200827_Desert Jordanie.jpg;Wadi Ram;20200827;24;16;pastel;Wadi Ram Desert Jordanie; paysage
-1;Pastels/20200829_Guillaume_Angelot.jpg;Angelot;20200829;23;17;pastel;Angelot;ambiance
-1;Pastels/20200902_BebeEpanoui.jpg;Bebe Epanoui;20200902;14;19;pastel;ambiance
-1;Pastels/20200906_Guillaume-surlaTable_Pascale.jpg;Premiers pas;20200906;13;19;pastel;Premiers pas;ambiance
-1;Pastels/20201023_Luc_Profil.jpg;Profil;20201023;18;24;pastel;Profil;ambiance
-1;Pastels/20201106_Pascale_RenaissanceItalienne.jpg;Dans le vent;20201106;24;18;pastel;Dans le vent;ambiance
-1;Pastels/20201110_Le bisou_PascaleGuillaume.jpg;Le bisou;20201110;28;20;pastel;Le bisou;ambiance
-1;Pastels/20201111_Luc au clair de lune.jpg;Clair de Lune;20201111;40;30;pastel;Au clair de lune;ambiance
-1;Pastels/20201206_Fiancailles_VersionAUS.jpg;Fiançailles;20201206;40;30;pastel;Pastel - Fiançailles (collection privée Brisbane, AUS);ambiance
-1;Pastels/20201210_Fiancailles_VersionFR.jpg;Fiançailles du soir;20201210;40;30;pastel;Fiançailles;ambiance
-1;Pastels/20201227_Femme Cruche.jpg;La servante;20201227;30;40;pastel;La servante au tableau;ambiance
-1;Pastels/20210124_PascaleAmelie.jpg;Generations;20210124;40;30;pastel;Generations Petite-fille Grand-mère;ambiance
-1;Pastels/20210630_Olen et marguerite.jpg;Printemps à Entraunes;20210630;18;23;pastel;Printemps à Entraunes 06;ambiance
-1;Pastels/20210909_canalDuMidi.jpg;Allée de platanes;20210909;29;39;pastel;Le long du canal du Midi - Aude, FR - (collection privée, Acton (Massachusetts USA));paysage
-1;Pastels/20210917_Michel en Polynesie.jpg;Torride;20210917;28;20;pastel;Pastel- Au soleil de Polynesie;ambiance
-1;Pastels/20220714_LaBrague.jpg;La Brague;20220714;28;20;pastel;Pastel- La Brague près du pont des Tamarins (Biot, 06);paysage
-1;Pastels/20240119_Corentin2Mois.jpg;Bébé sourit;20240119;20;20;pastel;Pastel- Corentin 2 mois;ambiance
-1;Autres/20200920_SanguinePascaleGuillaume.jpg;Mere et enfant;20200920;18;12;other;Sanguine- Mere et enfant;ambiance
-1;Autres/20201220_Loup et Corbeaux.jpg;Loup et Corbeaux;20201220;24;18;other;Encre de chine - Loups et corbeaux;ambiance
-1;Autres/20230202_LesMouettes_30x40_Aquarelle.jpg;Les mouettes;20230202;30;40;other;Aquarelle - Les mouettes;ambiance
